cpt_code,par_amount,state
22614,362.45,
22630,"1,442.57",
22632,295.69,
22633,"1,712.57",
22634,459.11,
22800,"1,264.33",
22802,"1,965.39",
22804,"2,265.18",
22808,"1,702.45",
22810,"1,904.26",
22812,"2,084.20",
22818,"2,044.21",
22819,"2,351.45",
22830,756.98,
22840,704.33,
22842,706.93,
22843,756.17,
22844,920.06,
22845,672.64,
22846,699.14,
22847,765.14,
22848,336.09,
22849,"1,207.91",
22850,674.57,
22852,648.26,
22853,239.35,
22854,309.93,
22855,"1,023.62",
22856,"1,507.54",
22857,"1,672.58",
22858,473.29,
22859,309.93,
22861,"2,093.96",
22862,"2,088.95",
22864,"1,867.97",
22865,"2,038.50",
22867,902.29,
22868,225.15,
22869,428.5,
22870,120.45,
22900,527.99,
22901,625.83,
22902,425.36,
22902,309.4,
22903,411.33,
22904,990.6,
22905,"1,251.98",
23000,534.37,
23000,342.94,
23020,649,
23030,403.66,
23030,234.71,
23031,374.83,
23031,196.89,
23035,639.52,
23040,674.85,
23044,531.28,
23065,209.29,
23065,155.65,
23066,525.79,
23066,337.89,
23071,393.42,
23073,653.1,
23075,465.39,
23075,306.39,
23076,507.46,
23077,"1,060.99",
23078,"1,352.23",
23100,471.29,
23101,427.88,
23105,597.85,
23106,467.46,
23107,620.32,
23120,548.89,
23125,666.72,
23130,575.35,
23140,519.07,
23145,653.36,
23146,583.55,
23150,626.14,
23155,747.69,
23156,637.08,
23170,527.13,
23172,532.68,
23174,713.84,
23180,623.62,
23182,618.95,
23184,693.31,
23190,538.32,
23195,703.83,
23200,"1,423.00",
23210,"1,672.57",
23220,"1,839.38",
23330,267.97,
23330,155.23,
23333,434.66,
23334,"1,006.26",
23335,"1,200.02",
23350,142.31,
23350,49.8,
23395,"1,209.41",
23397,"1,075.74",
23400,914.86,
23405,584.37,
23406,726.48,
23410,771.84,
23412,802.17,
23415,654.74,
23420,914.3,
23430,700.8,
23440,711.74,
23450,892.18,
23455,938.13,
23460,"1,026.12",
23462,"1,007.25",
23465,"1,053.33",
23466,"1,045.72",
23470,"1,133.48",
23472,"1,371.21",
